description,sync_key,llm_key,differs
"- ELEVEN YOUNGSTORGET OSLO","- eleven youngstorget oslo","- eleven youngstorget oslo",""
"- ISTORE @ MSP","- istore @ msp","- istore @ msp",""
"-ELEVEN R TOLLEF KILDE RENA","-eleven","eleven","YES"
"-ELEVEN S THORVALD MEY OSLO","-eleven","eleven","YES"
"/8_59993_Circle_K","/8_59993_circle_k","/8_59993_circle_k",""
"4Service Facility A","4service facility a","4service facility a",""
"7ELEVEN OLAF RYES PL","7eleven olaf ryes pl","7eleven olaf ryes pl",""
"ABILDSØ ELEKTRISKE AS","abildsø elektriske as","abildsø elektriske as",""
"ABUS-GRUPPEN NORDIC A/S","abus-gruppen nordic a/s","abus-gruppen nordic a/s",""
"ADOBE PHTOSHP LIGHTR","adobe","adobe",""
"ADOBE SYSTEMS SOFTWARE","adobe","adobe",""
"AIRBNB HM4FFRPT9T","airbnb hm","airbnb","YES"
"AIRBNB HMHHN39WA9","airbnb hm","airbnb","YES"
"AIRBNB HMQ439RB2D","airbnb hm","airbnb","YES"
"AIRBNB HMZHP9BB52","airbnb hm","airbnb","YES"
"ALIEXPRESS.COM","aliexpress.com","aliexpress.com",""
"AMAZON NH0104EM0","amazon nh0104em","amazon nh0104em0","YES"
"AMEDIA PRODUKT OG TEKNOLOGI AS","amedia produkt og teknologi as","amedia produkt og teknologi as",""
"AMUNDSEN BRYGGE STORTINGSGAT OSLO","amundsen brygge stortingsgat oslo","amundsen brygge stortingsgat oslo",""
"APCOA FLOW","apcoa flow","apcoa flow",""
"APOTEK1 BRYN AS ØSTENSJØV OSLO","apotek1 bryn as østensjøv oslo","apotek1 bryn as østensjøv oslo",""
"APPLE.COM/BILL","apple.com/bill","apple.com/bill",""
"APRICO RESTAURANT","aprico restaurant","aprico restaurant",""
"ARK ALNA STRØMSVN. OSLO","ark alna strømsvn. oslo","ark alna strømsvn. oslo",""
"AVTALEGIRO ENTER","avtalegiro enter","avtalegiro enter",""
"Adresseavisen","adresseavisen","adresseavisen",""
"Aftenposten","aftenposten","aftenposten",""
"Anita Grønningsæter Digernes","anita grønningsæter digernes","anita grønningsæter digernes",""
"Annemarte Moland","annemarte moland","annemarte moland",""
"Apen kveld Noekleva","apen kveld noekleva","apen kveld noekleva",""
"Aral Station","aral station","aral station",""
"Avtale","avtale","avtale",""
"Avtalegiro","avtale","avtalegiro","YES"
"BACKSTUBE - OSL CHR. FREDERI OSLO","backstube","backstube",""
"BACKSTUBE KVADR PRINSENSGT12 OSLO","backstube","backstube",""
"BACKSTUBE VATER STENERSGATEN OSLO","backstube","backstube",""
"BAD.NO AS","bad.no as","bad.no as",""
"BAKE ME UP TORG TORGGATA - OSLO","bake me up torg torggata - oslo","bake me up torg torggata - oslo",""
"BAKER HANSEN AV VITAMINVEIEN OSLO","baker hansen av vitaminveien oslo","baker hansen av vitaminveien oslo",""
"BARNEHAGE","barnehage","barnehage",""
"BAUHAUS LIERSKO GJELLEBEKKVE LIERSKOGEN","bauhaus","bauhaus",""
"BAUHAUS VESTBY KLEVERVEIEN VESTBY","bauhaus","bauhaus",""
"BILKOLLEKTIVET","bilkollektivet","bilkollektivet",""
"BILTEMA AVD STRØMSV. OSLO","biltema avd strømsv. oslo","biltema avd strømsv. oslo",""
"BISPEVIKA AS C/O ÅPENT BA OSLO","bispevika as c/o åpent ba oslo","bispevika as c/o åpent ba oslo",""
"BIT OSL INNLAND","bit osl innland","bit","YES"
"BIT OSL INNLAND JERNBANETORG OSLO","bit osl innland","bit","YES"
"BOGERUD TEKSTIL STALLERUDVN. OSLO","bogerud tekstil stallerudvn. oslo","bogerud tekstil stallerudvn. oslo",""
"BOMPENGER FOR BE","bompenger for be","bompenger for be",""
"BOOTS APOTEK BØLER","boots apotek bøler","boots apotek bøler",""
"BOYS BRYN BRYN SENTER OSLO","boys bryn bryn senter oslo","boys bryn bryn senter oslo",""
"BUNNPRIS KLETT KLETTVN. TR.HEIM","bunnpris","bunnpris",""
"BUNNPRIS MARKEV MARKEVEIEN BERGEN","bunnpris","bunnpris",""
"BUNNPRIS VALLDA GRANDEGT. VALLDAL","bunnpris","bunnpris",""
"BUTIKKDRIFT ILY JERNBANETORG OSLO","butikkdrift ily jernbanetorg oslo","butikkdrift ily jernbanetorg oslo",""
"BUYPASS IDRETT VIPPS","buypass idrett vipps","buypass idrett vipps",""
"BYGGMAX ENEBAKKV. OSLO","byggmax","byggmax",""
"BYGGMAX KARIHAU KARIHAUGVEIE OSLO","byggmax","byggmax",""
"BYÅSEN BAKERI A ENROMV. TRONDHEIM","byåsen bakeri a enromv. trondheim","byåsen bakeri a enromv. trondheim",""
"Bilkraft Elbil-ladi","bilkraft elbil-ladi","bilkraft elbil-ladi",""
"Billettservice AS","billettservice as","billettservice as",""
"Boeler IF - Lotteri","boeler if","boeler if",""
"Boeler IF Fotball","boeler if","boeler if",""
"Boeler IF Fotball I","boeler if","boeler if",""
"Boeler IF Friidrett","boeler if","boeler if",""
"Boliglån","boliglån","boliglån",""
"Buypass AS","buypass as","buypass as",""
"Bydel Østensjø","bydel østensjø","bydel østensjø",""
"BØLER BAD BØLERLIA B OSLO","bøler","bøler bad","YES"
"BØLER POST I BUTIKK OSLO","bøler","bøler post","YES"
"BØLER ZOO AS UTMARKVEIEN OSLO","bøler","bøler zoo","YES"
"CARLINGS KA KARL JOHANS OSLO","carlings ka karl johans oslo","carlings ka karl johans oslo",""
"CHECKINPAY AS","checkinpay as","checkinpay as",""
"CHRISTIANA VED / VED24","christiana ved / ved","christiana ved / ved24","YES"
"CIRCLE K BØLER BØLERLIA OSLO","circle k","circle k",""
"CIRCLE K E6 VIN RUSTENVEGEN VINSTRA","circle k","circle k",""
"CIRCLE K RINGER HOLEVEIEN RØYSE","circle k","circle k",""
"CLAS OHL STRØMSVEIEN OSLO","clas ohl","clas ohl",""
"CLAS OHL VITAMINVEIEN OSLO","clas ohl","clas ohl",""
"CLAS OHL ØSTENSJØV. OSLO","clas ohl","clas ohl",""
"COCA COLA HBC AUSTRIA GMB","coca cola hbc austria gmb","coca cola hbc austria gmb",""
"COMFORTHOTELXPRES","comforthotelxpres","comforthotelxpres",""
"CONTINENTAL HOL STORTINGSGAT OSLO","continental hol stortingsgat oslo","continental hol stortingsgat oslo",""
"COOP MARKED INNL P","coop","coop marked","YES"
"COOP MEGA BOLER","coop","coop mega","YES"
"COOP MEGA BØLER BØLERLIA OSLO","coop","coop mega","YES"
"COOP MEGA VOLDA HAMNEG. VOLDA","coop","coop mega","YES"
"COOP OBS BYGG ALNABRU","coop","coop obs bygg","YES"
"COOP OBS BYGG NYGARDSKR","coop","coop obs bygg","YES"
"COOP PRIX ROGNH BØCKMANNSV. TRONDHEIM","coop","coop",""
"COOP PRIX ØSTMA ØSTMARKVEIEN OSLO","coop","coop",""
"CROWN SEAWAYS","crown seaways","crown seaways",""
"Capi Lounge","capi lounge","capi lounge",""
"Clas Ohlson AS","clas ohlson as","clas ohlson as",""
"Coca-colaautomaten","coca-colaautomaten","coca-colaautomaten",""
"DATA VIZ SOCIETY","data viz society","data viz society",""
"DELI DE LUCA GR SMALGANGEN OSLO","deli de luca gr smalgangen oslo","deli de luca gr smalgangen oslo",""
"DELTA AIR SERVICE FEE","delta air service fee","delta air service fee",""
"DEN NORSKE ISBILEN","den norske isbilen","den norske isbilen",""
"DET NORSKE TEATER","det norske teater","det norske teater",""
"DFDSSEAWAYS.DK","dfdsseaways.dk","dfdsseaways.dk",""
"DFP187516148","dfp","dfp187516148","YES"
"DIGITALE VIGNETTE","digital","digitale vignette","YES"
"DIGITALOCEAN.COM","digital","digitalocean","YES"
"DIXON HÅR UTMARKVEIEN OSLO","dixon hår utmarkveien oslo","dixon hår utmarkveien oslo",""
"DM-FIL. A08F","dm-fil. a08f","dm-fil. a08f",""
"DUTY-FREE DFA-OSL GARDERMOEN","duty-free dfa-osl gardermoen","duty-free dfa-osl gardermoen",""
"Dagsavisen","dagsavisen","dagsavisen",""
"Demo","demo","demo",""
"Det Norske Teatret","det norske teatret","det norske teatret",""
"Dr. Gjedebo (Østensjø Legesenter AS)","dr. gjedebo (østensjø legesenter as)","dr. gjedebo (østensjø legesenter as)",""
"Duken Bar Pi BZXWDKNZ","duken bar pi bzxwdknz","duken bar pi bzxwdknz",""
"EBOK.NO","ebok.no","ebok.no",""
"ELTON","elton","elton",""
"ENTER FORSIKRING","enter forsikring","enter forsikring",""
"EPLEHUSET.NO","eplehuset.no","eplehuset.no",""
"ESPOS UTLEIE KOBBERVIKDAL DRAMMEN","espos utleie kobbervikdal drammen","espos utleie kobbervikdal drammen",""
"ESSO HELLERUDVE HELLERUDVN OSLO","esso","esso",""
"ESSO MYKLEGARD ÅNESTADVEGEN LØTEN","esso","esso",""
"ESSO STRYN TONNINGSGT. STRYN","esso","esso",""
"ESTES TWIN CITIES NEWS","estes twin cities news","estes twin cities news",""
"EUR ABUS-GRUPPEN NORDIC A/S","eur abus-gruppen nordic a/s","eur abus-gruppen nordic a/s",""
"EVO ELSYKLER VE GJERDRUMSVEI OSLO","evo elsykler ve gjerdrumsvei oslo","evo elsykler ve gjerdrumsvei oslo",""
"EVOFITNESS","evofitness","evofitness",""
"EWR SMOKEHOUSE BBQ","ewr smokehouse bbq","ewr smokehouse bbq",""
"EXTRA ALVDAL","extra","extra",""
"EXTRA GRØNLANDS GRØNLANDSREI OSLO","extra","extra",""
"EXTRA LEKER ALN STRØMSVEIEN OSLO","extra","extra",""
"EXTRA RINDAL RINDALSVEGEN RINDAL","extra","extra",""
"EXTRA VOLDA FURENE VOLDA","extra","extra",""
"Eagle SA Suisse","eagle sa suisse","eagle sa suisse",""
"EasyPark AS","easypark as","easypark as",""
